Saqib Saleem	2.0
Kartik Aaryan	2.0
Nushrat Bharucha	2.0
R Madhavan	3.8
K- S- Sethumadhavan	2.0
Sandeep Madhavan	2.0
Kangana Ranaut	2.0
Jimmy Shergill	2.0
Deepak Dobriyal	2.0
Rani Mukerji	2.0
Vidya Balan	2.0
Neil Bhoopalam	2.0
Katrina Kaif	2.0
Hrithik Roshan	3.5
Naseeruddin Shah	2.0
Farhan Akhtar	3.875
Abhishek Bachchan	3.5
Bipasha Basu	2.66667
Rana Daggubati	3.0
Prateik Babbar	2.0
Irrfan Khan	4.0
Aditi Rao Hydari	2.75
Ranbir Kapoor	2.0
Nargis Fakhri	2.0
Shammi Kapoor	2.0
Kumud Mishra	2.0
Salman Khan	2.0
Kareena Kapoor	3.625
Raj Babbar	2.0
Asrani	2.0
Arjun Rampal	2.0
Sridevi Kapoor	4.0
Adil Hussain	2.0
Mehdi Nebbou	2.0
Priya Anand	2.0
Ayushmann Khurrana	2.0
Yami Gautam	2.0
Annu Kapoor	2.0
Vivek Oberoi	2.0
Mallika Sherawat	2.0
Neha Dhupia	2.0
Anshuman Jha	2.0
Nawazuddin Siddiqui	4.1
Tigmanshu Dhulia	3.5
Deepika Padukone	3.125
Randeep Hooda	2.0
Saif Ali Khan	2.0
Sanjay Dutt	3.25
Sonakshi Sinha	2.0
Juhi Chawla	3.66667
Sidharth Malhotra	2.0
Alia Bhatt	2.0
Varun Dhawan	3.5
Rishi Kapoor	2.0
Kangana Ranaut	2.0
Mahesh Manjrekar	2.0
Paras Arora	2.0
Puneet Singh Ratn	2.0
Mahesh Thakur	2.0
Manish Paul	2.0
Elli Avram	2.0
Nimrat Kaur	2.0
Lillete Dubey	3.0
Sudesh Berry	2.0
Sachiin Joshi	2.0
Rajeev Khandelwal	2.0
Arshad Warsi	2.0
Paresh Rawal	3.85715
Kamal Haasan	2.0
Rahul Bose	2.0
Shekhar Kapur	2.0
Imran Khan	2.0
Anushka Sharma	2.0
Pankaj Kapur	2.0
Neil Nitin Mukesh	2.5
Ameesha Patel	2.0
Puja Gupta	2.0
Ali Zafar	2.0
Siddharth	2.0
Divyendu Sharma	2.0
