Pooja Desai	7.0
Anvita Dutt (additional dialogue)	7.0
Anvita Dutt	7.0
Rajesh Narasimhan	7.0
Ashish Patil	7.0
Ashish Patil	7.0
Luv Ranjan	7.8
Sumit Saxena (additional dialogue)	7.8
Sumit Saxena (additional screenplay writer)	7.8
Vaibhav Suman (additional dialogue)	7.8
Vaibhav Suman (additional screenplay writer)	7.8
Himanshu Sharma	6.6
Amitabh Bhattacharya (lyrics)	7.2
Raj Kumar Gupta (story screenplay and dialogue)	7.2
Farhan Akhtar (dialogue)	8.1
Reema Kagti	8.1
Zoya Akhtar	8.1
Reema Kagti	8.1
Zoya Akhtar	8.1
Charudutt Acharya (dialogue)	6.2
Purva Naresh (dialogue)	6.2
Shridhar Raghavan (dialogue)	6.2
Shridhar Raghavan	6.2
Manu Rishi Chadha	7.5
Swanand Kirkire (lyrics)	7.5
Sudhir Mishra	7.5
Sudhir Mishra	7.5
Tom Cushing (play)	3.6
Frances Marion	3.6
Winchell Smith (play)	3.6
Imtiaz Ali	7.6
Muazzam Beg	7.6
J.P. Chowksey	4.5
Kiran Kotrial	4.5
Siddique	4.5
David Benullo	4.8
Kanika Dhillon (dialogue)	4.8
Kanika Dhillon	4.8
Niranjan Iyengar (dialogue)	4.8
Shah Rukh Khan	4.8
Mushtaq Sheikh	4.8
Anubhav Sinha	4.8
Anubhav Sinha	4.8
Gauri Shinde	7.9
Juhi Chaturvedi (dialogue)	7.8
Juhi Chaturvedi	7.8
Juhi Chaturvedi	7.8
Sanjay M Khanduri	4.3
Sanjay M Khanduri	4.3
Rishabh Sharma (dialogue)	4.3
Akhilesh Jaiswal	8.3
Anurag Kashyap	8.3
Sachin K. Ladia	8.3
Zeishan Quadri	8.3
Imtiaz Ali	6.2
Sajid Ali	6.2
Robin Bhatt	4.0
Shaheen Bhatt	4.0
Ashwani Dhir	4.0
Ashwani Dhir	4.0
Renzil D'Silva	5.5
Karan Johar	5.5
Vishwas Patil	3.8
Radhika Anand	5.9
Kary Arora (lyrics)	5.9
Meeraqh (Telugu Dialogue Writer)	5.9
Kuldeep Ruhil (dialogue)	6.1
Kuldeep Ruhil (script consultant)	6.1
Saurabh Varma	6.1
Ritesh Batra	7.8
Vasan Bala (hindi dialogue consultant)	7.8
Ghalib Asadbhopali	5.6
Sheershak Anand (story and screenplay)	7.1
Shantanu Ray Chhibber (story and screenplay)	7.1
T. Rafael Cimino (novel)	7.1
Abhijeet Deshpande	7.1
Vinay Sharma	3.5
Kamal Haasan	8.7
Atul Tiwari (hindi dialogue)	8.7
Vishal Bhardwaj (dialogue)	5.8
Vishal Bhardwaj	5.8
Abhishek Chaubey	5.8
Sabrina Dhawan (script consultant)	5.8
Susi Ganesan (story and screenplay)	2.4
Ilashree Goswami (dialogue)	2.4
David Dhawan	5.4
Farhad (dialogue)	5.4
Renuka Kunzru	5.4
Sai Paranjape (original story)	5.4
Sai Paranjape	5.4
Sajid (dialogue)	5.4
Jaideep Sahni	5.8
Chetan Bhagat (novel)	7.7
Abhishek Kapoor (adaptation)	7.7
Supratik Sen (adaptation)	7.7
Chetan Bhagat (adaptation)	7.7
Pubali Chaudhuri (adaptation)	7.7
Prasoon Joshi	8.3
Shubhendu Bhattacharya (story and screenplay)	7.8
Juhi Chaturvedi (dialogue)	7.8
Somnath Dey (story and screenplay)	7.8
Dusan Tolmac	7.8
Dusan Tolmac (script consultant)	7.8
Mahesh Bhatt	4.8
Hatem Khraiche (original film "La Cara Oculta")	4.8
Amit Masurkar	4.8
Tushar Hiranandani	4.3
Milap Zaveri (dialogue)	4.3
Milap Zaveri	4.3
Punit Malhotra	5.0
Arshad Sayed	5.0
Prabhudheva	5.1
Prabhudheva	5.1
Sunil Kumar Agrawal	5.1
Ravi S. Sundaram	5.1
Shiraz Ahmed (dialogue)	5.1
Rajkumar Santoshi	4.9
Himanshu Sharma	7.6
Raj Kumar Gupta	5.7
Parveez Sheikh	5.7
Parveez Sheikh	5.7
Vishal Bhardwaj (dialogue)	5.7
Vishal Bhardwaj	5.7
Matthew Robbins (script collaborator)	5.7
Mukul Sharma	5.7
Subhash Kapoor	7.2
Faraz Haider	5.6
Deepak Kingrani (dialogue)	5.6
Salim Khan (original story)	3.2
Javed Akhtar (original story)	3.2
Apoorva Lakhia (story and screenplay)	3.2
Chintan Gandhi (dialogue)	3.2
Suresh Nair	3.2
Farhad (dialogue)	4.1
Hari (original story)	4.1
K.S. Ravikumar	4.1
Sajid (dialogue)	4.1
K. Raghavendra Rao (original story)	1.8
Sajid Khan	1.8
Sajid Khan	1.8
Farhad	1.8
Sajid	1.8
